-20,-20,-20,-20,-20,-20,-20,-15,-20,-16,-20,-20,-20,-20,-20,-20,-20,-20,-14,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-18,-20,-20,-20,-9,-20,-12,-6,-8,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-14,-20,-20,-20,-20,-20,-10,-20,-20,-20,-20,-12,-6,-14,-8,-8,-10,-6,-6,-6,-6,-6,-6,-12,-8,-6,-6,-8,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-12,-6,-14,-6,-8,-6,-10,-6,-10,-6,-6,-6,-6,-6,-6,-6,-6,-6,-8,-6,-6,-8,-6,-8,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-8,-6,-6,-6,-6,-6,-7,-8,-6,-6,-8,-6,-20,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-18,-8,-6,-6,-6,-8
20,40,60,80,100,120,140,155,175,191,211,231,251,271,291,311,331,351,365,385,405,425,445,465,485,505,525,545,565,585,603,623,643,663,672,692,704,710,718,738,758,778,798,818,838,858,878,898,918,938,958,978,998,1018,1038,1058,1072,1092,1112,1132,1152,1172,1182,1202,1222,1242,1262,1274,1280,1294,1302,1310,1320,1326,1332,1338,1344,1350,1356,1368,1376,1382,1388,1396,1402,1408,1414,1420,1426,1432,1438,1444,1450,1456,1462,1474,1480,1494,1500,1508,1514,1524,1530,1540,1546,1552,1558,1564,1570,1576,1582,1588,1594,1602,1608,1614,1622,1628,1636,1642,1648,1654,1660,1666,1672,1678,1684,1690,1696,1702,1708,1716,1722,1728,1734,1740,1746,1753,1761,1767,1773,1781,1787,1807,1813,1819,1825,1831,1837,1843,1849,1855,1861,1867,1873,1879,1885,1891,1897,1903,1909,1915,1921,1927,1933,1939,1945,1951,1969,1977,1983,1989,1995,2003
-20,-20,-20,-20,-20,-20,-20,-15,-20,-16,-20,-20,-20,-20,-20,-20,-20,-20,-14,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-18,-20,-20,-20,-9,-20,-12,-6,-8,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-14,-20,-20,-20,-20,-20,-10,-20,-20,-20,-20,-12,-6,-14,-8,-8,-10,-6,-6,-6,-6,-6,-6,-12,-8,-6,-6,-8,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-12,-6,-14,-6,-8,-6,-10,-6,-10,-6,-6,-6,-6,-6,-6,-6,-6,-6,-8,-6,-6,-8,-6,-8,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-8,-6,-6,-6,-6,-6,-7,-8,-6,-6,-8,-6,-20,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-18,-8,-6,-6,-6,-8
20,40,60,80,100,120,140,155,175,191,211,231,251,271,291,311,331,351,365,385,405,425,445,465,485,505,525,545,565,585,603,623,643,663,672,692,704,710,718,738,758,778,798,818,838,858,878,898,918,938,958,978,998,1018,1038,1058,1072,1092,1112,1132,1152,1172,1182,1202,1222,1242,1262,1274,1280,1294,1302,1310,1320,1326,1332,1338,1344,1350,1356,1368,1376,1382,1388,1396,1402,1408,1414,1420,1426,1432,1438,1444,1450,1456,1462,1474,1480,1494,1500,1508,1514,1524,1530,1540,1546,1552,1558,1564,1570,1576,1582,1588,1594,1602,1608,1614,1622,1628,1636,1642,1648,1654,1660,1666,1672,1678,1684,1690,1696,1702,1708,1716,1722,1728,1734,1740,1746,1753,1761,1767,1773,1781,1787,1807,1813,1819,1825,1831,1837,1843,1849,1855,1861,1867,1873,1879,1885,1891,1897,1903,1909,1915,1921,1927,1933,1939,1945,1951,1969,1977,1983,1989,1995,2003
-20,-20,-20,-20,-20,-20,-20,-15,-20,-16,-20,-20,-20,-20,-20,-20,-20,-20,-14,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-18,-20,-20,-20,-9,-20,-12,-6,-8,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-14,-20,-20,-20,-20,-20,-10,-20,-20,-20,-20,-12,-6,-14,-8,-8,-10,-6,-6,-6,-6,-6,-6,-12,-8,-6,-6,-8,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-12,-6,-14,-6,-8,-6,-10,-6,-10,-6,-6,-6,-6,-6,-6,-6,-6,-6,-8,-6,-6,-8,-6,-8,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-8,-6,-6,-6,-6,-6,-7,-8,-6,-6,-8,-6,-20,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-18,-8,-6,-6,-6,-8
20,40,60,80,100,120,140,155,175,191,211,231,251,271,291,311,331,351,365,385,405,425,445,465,485,505,525,545,565,585,603,623,643,663,672,692,704,710,718,738,758,778,798,818,838,858,878,898,918,938,958,978,998,1018,1038,1058,1072,1092,1112,1132,1152,1172,1182,1202,1222,1242,1262,1274,1280,1294,1302,1310,1320,1326,1332,1338,1344,1350,1356,1368,1376,1382,1388,1396,1402,1408,1414,1420,1426,1432,1438,1444,1450,1456,1462,1474,1480,1494,1500,1508,1514,1524,1530,1540,1546,1552,1558,1564,1570,1576,1582,1588,1594,1602,1608,1614,1622,1628,1636,1642,1648,1654,1660,1666,1672,1678,1684,1690,1696,1702,1708,1716,1722,1728,1734,1740,1746,1753,1761,1767,1773,1781,1787,1807,1813,1819,1825,1831,1837,1843,1849,1855,1861,1867,1873,1879,1885,1891,1897,1903,1909,1915,1921,1927,1933,1939,1945,1951,1969,1977,1983,1989,1995,2003
-20,-20,-20,-20,-20,-20,-20,-15,-20,-16,-20,-20,-20,-20,-20,-20,-20,-20,-14,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-18,-20,-20,-20,-9,-20,-12,-6,-8,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-14,-20,-20,-20,-20,-20,-10,-20,-20,-20,-20,-12,-6,-14,-8,-8,-10,-6,-6,-6,-6,-6,-6,-12,-8,-6,-6,-8,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-12,-6,-14,-6,-8,-6,-10,-6,-10,-6,-6,-6,-6,-6,-6,-6,-6,-6,-8,-6,-6,-8,-6,-8,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-8,-6,-6,-6,-6,-6,-7,-8,-6,-6,-8,-6,-20,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-18,-8,-6,-6,-6,-8
20,40,60,80,100,120,140,155,175,191,211,231,251,271,291,311,331,351,365,385,405,425,445,465,485,505,525,545,565,585,603,623,643,663,672,692,704,710,718,738,758,778,798,818,838,858,878,898,918,938,958,978,998,1018,1038,1058,1072,1092,1112,1132,1152,1172,1182,1202,1222,1242,1262,1274,1280,1294,1302,1310,1320,1326,1332,1338,1344,1350,1356,1368,1376,1382,1388,1396,1402,1408,1414,1420,1426,1432,1438,1444,1450,1456,1462,1474,1480,1494,1500,1508,1514,1524,1530,1540,1546,1552,1558,1564,1570,1576,1582,1588,1594,1602,1608,1614,1622,1628,1636,1642,1648,1654,1660,1666,1672,1678,1684,1690,1696,1702,1708,1716,1722,1728,1734,1740,1746,1753,1761,1767,1773,1781,1787,1807,1813,1819,1825,1831,1837,1843,1849,1855,1861,1867,1873,1879,1885,1891,1897,1903,1909,1915,1921,1927,1933,1939,1945,1951,1969,1977,1983,1989,1995,2003
-20,-20,-20,-20,-20,-20,-20,-15,-20,-16,-20,-20,-20,-20,-20,-20,-20,-20,-14,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-18,-20,-20,-20,-9,-20,-12,-6,-8,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-14,-20,-20,-20,-20,-20,-10,-20,-20,-20,-20,-12,-6,-14,-8,-8,-10,-6,-6,-6,-6,-6,-6,-12,-8,-6,-6,-8,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-12,-6,-14,-6,-8,-6,-10,-6,-10,-6,-6,-6,-6,-6,-6,-6,-6,-6,-8,-6,-6,-8,-6,-8,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-8,-6,-6,-6,-6,-6,-7,-8,-6,-6,-8,-6,-20,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-18,-8,-6,-6,-6,-8
20,40,60,80,100,120,140,155,175,191,211,231,251,271,291,311,331,351,365,385,405,425,445,465,485,505,525,545,565,585,603,623,643,663,672,692,704,710,718,738,758,778,798,818,838,858,878,898,918,938,958,978,998,1018,1038,1058,1072,1092,1112,1132,1152,1172,1182,1202,1222,1242,1262,1274,1280,1294,1302,1310,1320,1326,1332,1338,1344,1350,1356,1368,1376,1382,1388,1396,1402,1408,1414,1420,1426,1432,1438,1444,1450,1456,1462,1474,1480,1494,1500,1508,1514,1524,1530,1540,1546,1552,1558,1564,1570,1576,1582,1588,1594,1602,1608,1614,1622,1628,1636,1642,1648,1654,1660,1666,1672,1678,1684,1690,1696,1702,1708,1716,1722,1728,1734,1740,1746,1753,1761,1767,1773,1781,1787,1807,1813,1819,1825,1831,1837,1843,1849,1855,1861,1867,1873,1879,1885,1891,1897,1903,1909,1915,1921,1927,1933,1939,1945,1951,1969,1977,1983,1989,1995,2003
