6.83E+01,1.49E+02,1.75E+02,1.84E+02,1.96E+02,1.94E+02,1.98E+02,2.00E+02,2.00E+02,2.00E+02,2.00E+02,2.00E+02,2.00E+02,2.00E+02,2.00E+02,2.00E+02,2.00E+02,2.00E+02,2.00E+02,2.00E+02
4.22E+01,2.43E+01,2.08E+01,1.59E+01,5.28E+00,1.50E+01,5.43E+00,9.30E-01,5.10E-01,5.15E-01,2.19E-01,0.00E+00,2.39E-01,0.00E+00,8.10E-01,0.00E+00,1.02E+00,1.13E+00,3.60E-01,1.02E-01
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,`,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
